Name,ROUGE-L,BLEU-4,METEOR,BERTScore,BLEURT,SIDE_true,SIDE_pred
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-2-eval.json/total,0.22493178988517593,0.03851201691037833,0.3389968258033543,0.6140969823445043,0.49848334341501777,0.21233642402176672,0.7011444122038283
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-2-eval.json/apache/airflow,0.19768639194382173,0.009251993953881118,0.2857095282130485,0.6009191365802989,0.47849285683211157,0.19128735236385289,0.7123801151926027
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-2-eval.json/Azure/azure-sdk-for-python,0.2998696099666952,0.10725812776326198,0.45204421247285925,0.6533934915596656,0.540330243738074,0.24571481429281747,0.6285741737617655
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-2-eval.json/streamlink/streamlink,0.1834579700834183,0.00507294792256513,0.29237001310130933,0.5956428022803487,0.4926589598526826,0.22773472655161814,0.7559154875375129
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-2-eval.json/open-mmlab/mmcv,0.16057704372301132,0.00400720825949879,0.3085765109444168,0.5684295823176702,0.4749962901075681,0.20503506852934758,0.8527546713749568
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-8-eval.json,0.38778536231793725,0.08585797847712913,0.4224938064891735,0.7295495010912418,0.6061386249214411,0.47645998092368247,0.4793967314995825
codet5p_220m_py_sum/method-level-mce-eval.json,0.4142906377504046,0.08549606035854268,0.3537546415206429,0.7263913211971521,0.534412542283535,0.47645998092368247,0.2398899958562106
codet5p_220m_py_sum/method-level-mcsn-eval.json/total,0.4710250423078467,0.2128729187570353,0.44646666389729345,0.759419069470602,0.5613182958391109,0.21233642402176672,0.1266471386561286
codet5p_220m_py_sum/method-level-mcsn-eval.json/apache/airflow,0.353392624954085,0.04266349074290976,0.3236254270394868,0.7080549603350023,0.4884901515876546,0.19128735236385289,0.07130458662176833
codet5p_220m_py_sum/method-level-mcsn-eval.json/Azure/azure-sdk-for-python,0.7216970502445286,0.5815378224478598,0.6944835150910819,0.8651723079835838,0.7091499941672391,0.24571481429281747,0.2373859693375435
codet5p_220m_py_sum/method-level-mcsn-eval.json/streamlink/streamlink,0.30402048602813125,0.031487713655032605,0.29788781463844194,0.7034068312999364,0.4821686650047431,0.22773472655161814,0.09105366679864961
codet5p_220m_py_sum/method-level-mcsn-eval.json/open-mmlab/mmcv,0.478293851969298,0.12456093328900032,0.4788366349782436,0.7569791043798129,0.5662283708651861,0.20503506852934758,0.10668064455191294
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-1-eval.json,0.25215965883197466,0.0453724893330294,0.3569669171085199,0.6209255474805832,0.5513482312858105,0.47645998092368247,0.8068101044278592
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-5-eval.json,0.43595373742606014,0.12153585308259279,0.4312865293096762,0.7457530378550291,0.6087943552061915,0.47645998092368247,0.37265680436510595
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-0-eval.json,0.17686524294555508,0.023326950037542885,0.29837991953637466,0.5585263928771019,0.518484706953168,0.47645998092368247,0.9151434096880258
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-4-eval.json/total,0.37647517544714487,0.12221392932247331,0.41751624621603545,0.7071896070803957,0.5715837303373418,0.21233642402176672,0.22288349420109546
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-4-eval.json/apache/airflow,0.3228330307172416,0.04000727584694136,0.3320640300821244,0.6842987312288845,0.5270827390516506,0.19128735236385289,0.1149455623942263
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-4-eval.json/Azure/azure-sdk-for-python,0.5164359896795044,0.3133110641656305,0.601914901058515,0.7615777896000788,0.667290015319581,0.24571481429281747,0.3762634719461806
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-4-eval.json/streamlink/streamlink,0.2802606434950798,0.020104407995815615,0.3034315015266697,0.6814908518179043,0.5288129150867462,0.22773472655161814,0.21775611731651667
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-4-eval.json/open-mmlab/mmcv,0.29893293810161753,0.04376292930603897,0.4043994998465891,0.6771304244796436,0.5455588842431704,0.20503506852934758,0.3623533676067988
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-9-eval.json,0.41135237485461446,0.11624713345079339,0.428229133099098,0.7280312126874924,0.6059865451231599,0.47645998092368247,0.5036375791672617
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-2-eval.json,0.4418979991209031,0.11119743212564873,0.42303724229481504,0.7502749355882407,0.6102466657757759,0.47645998092368247,0.3649374723760411
starcoder2-15b-instruct-v0.1/class-level-mce-eval.json,0.20430228087494165,0.034020979202748186,0.33005168546535285,0.5565990164875985,0.5524878706783056,0.47645998092368247,0.9329635025840253
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-0-eval.json/total,0.12542098615039005,0.009518288393545871,0.24103250515822566,0.5168718782163435,0.4791868014570797,0.21233642402176672,0.7683902751035045
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-0-eval.json/apache/airflow,0.1252360214409074,0.005165555509002304,0.22280920614473557,0.5199743502280292,0.47269313244258654,0.19128735236385289,0.7594795613516779
